Near-Term   Options   (cont.)
Calls                             Puts
Strike
Bid              Ask              Bid             Ask
1910            61.60            64.10             9.10            10.20
1915            57.40            59.80             9.90            11.30
1920            53.30            55.60            10.70            12.10
1925            49.10            51.20            11.60            12.60
1930            45.20            47.30            12.50            14.00
1935            41.20            43.40            13.60            14.70
1940            37.40            39.50            14.70            15.80
1945            33.70            35.70            15.90            17.20
1950            30.10            32.10            17.70            18.80
1955            26.70            28.50            19.00            20.50
1960            23.40            25.10            20.60            22.00
1965            20.30            21.80            22.30            24.00
1970            17.40            18.80            24.30            25.80
1975            14.60            15.90            26.50            28.10
1980            12.20            13.30            28.90            30.60
1985             9.90            11.00            31.40            33.20
1990             7.90             9.00            34.30            36.50
1995             6.20             7.10            37.40            39.70
2000             4.70             5.20            40.70            43.20
2005             3.40             4.20            44.00            47.70
2010             2.65             3.10            48.00            51.40
2015             1.75             2.30            52.20            56.00
2020             1.20             1.70            56.60            60.40
2025             1.00             1.25            61.20            65.00
2030             0.45             1.00            65.90            69.70
2035             0.25             0.80            70.70            74.40
2040             0.35             0.65            75.60            79.30
2045             0.20             0.60            80.50            84.10
2050             0.20             0.30            85.40            89.00
2055             0.15             0.50            90.40            94.00
2060             0.15             0.30            95.30            98.90
2065             0.15             0.20           100.30           103.90
2070             0.10             0.20           105.30           108.90
2075             0.10             0.20           110.30           113.80
2080             0.05             0.45           115.30           118.80
2085             0.05             0.40           120.30           123.80
2090             0.05             0.15           125.30           128.80
2095             0.05             0.35           130.30           133.80
2100             0.05             0.15           135.30           138.80
2120             0.00             0.15           155.30           158.80
2125             0.05             0.15           160.30           163.80
2150             0.00             0.10           185.20           188.80
2175             0.00             0.05           210.20           213.70
2200             0.00             0.05           235.20           238.70
2225             0.05             0.10           260.20           263.70
2250             0.00             0.05           285.20           288.70
