Filename,Total Lines,TEXT Lines,FORM Lines,TABLE Lines,TEXT Chars,FORM Chars,TABLE Chars,TEXT Avg Len,FORM Avg Len,TABLE Avg Len
document_part_classification_1.xml,26,1,25,0,435,1542,0,435.00,61.68,0.00
document_part_classification_10.xml,14,3,11,0,2595,610,0,865.00,55.45,0.00
document_part_classification_100.xml,24,0,24,0,0,1800,0,0.00,75.00,0.00
document_part_classification_101.xml,17,5,12,0,2683,1013,0,536.60,84.42,0.00
document_part_classification_102.xml,12,0,12,0,0,888,0,0.00,74.00,0.00
document_part_classification_103.xml,2,0,2,0,0,155,0,0.00,77.50,0.00
document_part_classification_104.xml,21,0,21,0,0,1164,0,0.00,55.43,0.00
document_part_classification_105.xml,21,3,18,0,2240,1394,0,746.67,77.44,0.00
document_part_classification_106.xml,11,0,11,0,0,721,0,0.00,65.55,0.00
document_part_classification_107.xml,24,0,24,0,0,1071,0,0.00,44.62,0.00
document_part_classification_108.xml,13,0,13,0,0,391,0,0.00,30.08,0.00
document_part_classification_109.xml,16,0,16,0,0,791,0,0.00,49.44,0.00
document_part_classification_11.xml,6,0,6,0,0,432,0,0.00,72.00,0.00
document_part_classification_110.xml,29,1,28,0,2532,2530,0,2532.00,90.36,0.00
document_part_classification_111.xml,12,2,10,0,1151,708,0,575.50,70.80,0.00
document_part_classification_112.xml,6,1,5,0,465,287,0,465.00,57.40,0.00
document_part_classification_113.xml,47,1,46,0,646,3163,0,646.00,68.76,0.00
document_part_classification_114.xml,3,1,2,0,681,110,0,681.00,55.00,0.00
document_part_classification_115.xml,29,2,27,0,1880,2091,0,940.00,77.44,0.00
document_part_classification_116.xml,53,0,53,0,0,3857,0,0.00,72.77,0.00
document_part_classification_117.xml,5,0,5,0,0,296,0,0.00,59.20,0.00
document_part_classification_118.xml,7,0,7,0,0,246,0,0.00,35.14,0.00
document_part_classification_119.xml,14,0,14,0,0,437,0,0.00,31.21,0.00
document_part_classification_12.xml,22,5,17,0,4426,633,0,885.20,37.24,0.00
document_part_classification_120.xml,44,0,44,0,0,2426,0,0.00,55.14,0.00
document_part_classification_121.xml,13,0,13,0,0,582,0,0.00,44.77,0.00
document_part_classification_122.xml,8,0,8,0,0,422,0,0.00,52.75,0.00
document_part_classification_123.xml,11,3,8,0,1690,655,0,563.33,81.88,0.00
document_part_classification_124.xml,15,4,11,0,2324,914,0,581.00,83.09,0.00
document_part_classification_125.xml,31,0,31,0,0,1880,0,0.00,60.65,0.00
document_part_classification_126.xml,2,0,2,0,0,185,0,0.00,92.50,0.00
document_part_classification_127.xml,10,4,6,0,1701,543,0,425.25,90.50,0.00
document_part_classification_128.xml,32,0,32,0,0,2188,0,0.00,68.38,0.00
document_part_classification_129.xml,8,1,7,0,295,525,0,295.00,75.00,0.00
document_part_classification_13.xml,11,1,10,0,475,422,0,475.00,42.20,0.00
document_part_classification_130.xml,6,1,5,0,340,374,0,340.00,74.80,0.00
document_part_classification_131.xml,6,0,6,0,0,321,0,0.00,53.50,0.00
document_part_classification_132.xml,6,0,6,0,0,360,0,0.00,60.00,0.00
document_part_classification_133.xml,40,2,38,0,2250,3192,0,1125.00,84.00,0.00
document_part_classification_134.xml,6,1,5,0,815,333,0,815.00,66.60,0.00
document_part_classification_135.xml,10,1,9,0,1242,411,0,1242.00,45.67,0.00
document_part_classification_136.xml,21,0,21,0,0,1127,0,0.00,53.67,0.00
document_part_classification_137.xml,16,1,15,0,339,942,0,339.00,62.80,0.00
document_part_classification_138.xml,9,1,8,0,726,659,0,726.00,82.38,0.00
document_part_classification_139.xml,13,1,12,0,360,351,0,360.00,29.25,0.00
document_part_classification_14.xml,12,1,11,0,935,613,0,935.00,55.73,0.00
document_part_classification_140.xml,13,2,11,0,521,654,0,260.50,59.45,0.00
document_part_classification_141.xml,11,4,7,0,1906,409,0,476.50,58.43,0.00
document_part_classification_142.xml,11,3,8,0,2616,1591,0,872.00,198.88,0.00
document_part_classification_143.xml,11,0,11,0,0,591,0,0.00,53.73,0.00
document_part_classification_144.xml,11,0,11,0,0,796,0,0.00,72.36,0.00
document_part_classification_145.xml,29,0,29,0,0,1818,0,0.00,62.69,0.00
document_part_classification_146.xml,15,0,15,0,0,966,0,0.00,64.40,0.00
document_part_classification_147.xml,23,0,23,0,0,1636,0,0.00,71.13,0.00
document_part_classification_148.xml,5,1,4,0,345,117,0,345.00,29.25,0.00
document_part_classification_149.xml,10,2,8,0,976,556,0,488.00,69.50,0.00
document_part_classification_15.xml,3,2,1,0,878,79,0,439.00,79.00,0.00
document_part_classification_150.xml,12,2,10,0,774,818,0,387.00,81.80,0.00
document_part_classification_151.xml,18,0,18,0,0,732,0,0.00,40.67,0.00
document_part_classification_152.xml,16,0,16,0,0,719,0,0.00,44.94,0.00
document_part_classification_153.xml,13,2,11,0,678,418,0,339.00,38.00,0.00
